product,price,reduction,evaluation
"Itel S23 - 6.6"" - 8GO, 128GO - 50MP - Mystery White",229.00 Dhs,7%,3.8 out of 5
"Samsung Galaxy A04e Black 3+32GB 6.5” HD+ PLS LCD 5,000 mAh","1,079.00 Dhs",17%,3.8 out of 5
"Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - Black","1,380.00 Dhs",17%,4.5 out of 5
"Itel S23 - 6.6"" - 8GO, 128GO - 50MP - Starry black",69.00 Dhs,7%,5 out of 5
Smart Watch T500 Montre intelligente smart watsh Full  appel étanche fréquence cardiaque,529.00 Dhs,53%,5 out of 5
Smart Watch T500 Montre intelligente Full  appel étanche fréquence cardiaque,"2,648.00 Dhs",64%,2.3 out of 5
Écouteurs sans fil Bluetooth M10 TWS V51 9D stéréo oreillettes de Sport étanches,"2,199.00 Dhs",52%,4 out of 5
"Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - Copper",143.00 Dhs,17%,4.5 out of 5
Smart Watch T500 montre intelligente sport fréquence cardiaque moniteur tension,"1,960.00 Dhs",69%,1 out of 5
"Montre connectée 7 pour hommes et femmes, étanche, pour Android et IOS","1,049.00 Dhs",62%,4.7 out of 5
Itel S18 – 6.6″ –  4Go Ram 64 Go Rom – 8Mpx – 5000mAh - Vert,726.00 Dhs,40%,4.6 out of 5
XIAOMI 10000mAh Mi 18W Fast Charge Power Bank 3 black,119.00 Dhs,8%,4.3 out of 5
"XIAOMI Redmi 12C - 6.71"" (4GB - 128GB) - 5000 mAh - 50 MP – Bleu","2,099.00 Dhs",17%,4.4 out of 5
"Samsung Galaxy A04 - 6.5"" - 4GB RAM + 64GB ROM - 50MP - White",142.00 Dhs,67%,3.3 out of 5
TWS ÉCOUTEURS  SANS FIL - I12 5.0 - noir,69.00 Dhs,33%,3.7 out of 5
TWS Écouteurs sans fil Bluetooth M10 TWS V5.1 9D stéréo,"1,079.00 Dhs",67%,4.1 out of 5
Écouteurs sans fil M10 TWS Bluetooth 5.1 stéréo 9D,959.00 Dhs,19%,4.5 out of 5
Samsung Galaxy A14 6.6'' LTE 4+128GB 50 Mpx SILVER,"1,169.00 Dhs",18%,4.8 out of 5
"XIAOMI Redmi 12C - 6.71"" (4GB - 128GB)  - 5000 mAh - 50 MP - Graphite Gray","1,079.00 Dhs",17%,5 out of 5
Samsung Galaxy A04e - 6.5” HD+ PLS LCD - 32GB - 3 Go Ram - Copper,229.00 Dhs,17%,3.7 out of 5
Telefunken Téléphone cellulaire futurephone tf801,"1,169.00 Dhs",77%,3.5 out of 5
Cable iPhone Compatible 5/5C/5S/6/6S/6+/6S+/7/7+ et X,869.00 Dhs,40%,4.1 out of 5
XIAOMI Mi In-Ear Headphones Basic (SILVER) - 1 an de garantie,"1,690.00 Dhs",17%,3.5 out of 5
Itel S18 – 6.6″ –  4Go Ram 64 Go Rom – 8Mpx – 5000mAh - Noir,"1,829.00 Dhs",41%,4.6 out of 5
